Date,Open,High,Low,Close,Adj Close,Volume
27-01-21,3300,3305.300049,3227.149902,3261.050049,3148.67749,586936
28-01-21,3240,3272.699951,3183.949951,3199.449951,3089.200195,555279
29-01-21,3206,3215,3100.5,3112.899902,3005.632324,96018
01-02-21,3104,3165,3045.100098,3140.699951,3032.474365,158508
02-02-21,3161,3224.550049,3154.5,3203,3092.627441,115905
03-02-21,3207,3235.149902,3164.600098,3199.100098,3088.862061,101798
04-02-21,3206,3233.949951,3177,3187.300049,3077.468506,434127
05-02-21,3191.100098,3200,3129.5,3158.050049,3049.226563,69573
08-02-21,3185.199951,3224.949951,3155.5,3215.149902,3104.358643,132081
09-02-21,3200,3245.149902,3165.050049,3175.800049,3066.36499,123700
10-02-21,3177,3219.300049,3158.949951,3210.949951,3100.303711,61444
11-02-21,3223,3223,3186,3205.850098,3095.379639,38475
12-02-21,3197,3245.800049,3183.399902,3191.149902,3081.186035,64320
15-02-21,3206,3206,3131,3139.949951,3031.750244,104489
16-02-21,3158.899902,3166.25,3100.25,3109.300049,3002.15625,136791
17-02-21,3109,3131.949951,3047,3073.5,2967.589844,140215
18-02-21,3073,3098.75,3032,3057.550049,2952.189697,175502
19-02-21,3057.550049,3085.850098,3017.550049,3072.100098,2966.238525,129152
22-02-21,3090,3090,2945.5,2958.75,2856.794189,233886
23-02-21,2971.600098,3027.899902,2970,2980,2877.312012,140264
24-02-21,2980.199951,3002.25,2701,2951.399902,2849.697754,720041
25-02-21,2980,3029.449951,2969.100098,2992.899902,2889.767334,497914
26-02-21,2968.5,2971.899902,2881.350098,2896.050049,2796.254883,202274
01-03-21,2930,2964.949951,2900,2926.199951,2825.365723,210795
02-03-21,2970,3025.399902,2946.149902,3010.550049,2906.809326,168724
03-03-21,3030,3063.449951,2996.5,3058.649902,2953.251465,206125
04-03-21,3030,3081.550049,3019.899902,3047.699951,2942.679199,371283
05-03-21,3020,3063.449951,2997.350098,3007,2903.381592,63785
08-03-21,3039,3039,2996,3007.199951,2903.574707,39194
09-03-21,3008.050049,3066.899902,2993,3049.949951,2944.851563,85833
10-03-21,3080.199951,3092,3060.100098,3071.949951,2966.093506,83120
12-03-21,3075,3115.649902,3042.050049,3056.899902,2951.562012,133299
15-03-21,3054,3098.899902,3043,3066.350098,2960.686768,53492
16-03-21,3064.850098,3139.899902,3063,3108.699951,3001.577148,294600
17-03-21,3108,3156.75,3086,3112.699951,3005.439209,263394
18-03-21,3122,3145,2986.300049,3036.800049,2932.154785,94103
19-03-21,3032,3098,3004.449951,3063.25,2957.693359,202074
22-03-21,3060,3139,3018.050049,3129.600098,3021.75708,136270
23-03-21,3139.75,3168.5,3124,3142.050049,3033.777832,64888
24-03-21,3125,3151.699951,3111.5,3120.949951,3013.405029,49838
25-03-21,3120.949951,3129.699951,3051,3068.050049,2962.327881,50991
26-03-21,3083,3118,3044,3068.149902,2962.424316,112808
30-03-21,3080,3188,3059.850098,3159.949951,3051.061279,216943
31-03-21,3155,3205,3131.649902,3177.600098,3068.103027,192113
01-04-21,3190,3215.699951,3146,3165.899902,3056.805908,105274
05-04-21,3171,3262.550049,3151.25,3239.300049,3127.677002,1005721
06-04-21,3278,3278,3229.899902,3263.850098,3151.380859,105514
07-04-21,3262,3277.949951,3235.100098,3270.75,3158.042969,68444
08-04-21,3267.350098,3334.850098,3267.350098,3316.5,3202.216553,73583
09-04-21,3350,3358.800049,3308.75,3322.199951,3207.720215,98999
12-04-21,3330,3343.899902,3217.75,3241.449951,3129.75293,149202
13-04-21,3230,3230,3074.550049,3105,2998.004883,247729
15-04-21,3145,3240.550049,3086.199951,3218.949951,3108.027832,673685
16-04-21,3228.949951,3246.25,3182,3193.300049,3083.262207,106603
19-04-21,3193.300049,3193.300049,3135.199951,3163.100098,3054.102783,56293
20-04-21,3215,3220,3127,3144.100098,3035.757324,108317
22-04-21,3146.149902,3149.699951,3105.5,3119.100098,3011.618896,199595
23-04-21,3105,3119.75,3092,3109.800049,3002.63916,67236
26-04-21,3109.800049,3151.949951,3088.100098,3101.100098,2994.239258,96633
27-04-21,3103,3135.100098,3103,3131.600098,3023.688232,43362
28-04-21,3143,3150.5,3112,3123.800049,3016.156982,39238
29-04-21,3142,3156.300049,3105.399902,3113.199951,3005.921875,62825
30-04-21,3111,3132.699951,3021,3038.399902,2933.699707,69616
03-05-21,3034.699951,3057,3004.800049,3037,2932.3479,110455
04-05-21,3060,3090,3035.199951,3048.949951,2943.88623,71115
05-05-21,3077.800049,3100,3053.699951,3096.350098,2989.652832,40810
06-05-21,3108,3134.25,3074,3111.300049,3004.087646,197177
07-05-21,3130,3160,3112.149902,3132,3024.074463,90326
10-05-21,3140,3164,3126,3145.149902,3036.770996,36150
11-05-21,3130,3130,3092.199951,3123.199951,3015.577393,42943
12-05-21,3139,3139,3070.5,3088.5,2982.073242,65098
14-05-21,3100,3100,3040.550049,3050.75,2945.623779,78135
17-05-21,3060,3077,3035.649902,3069.800049,2964.017822,101499
18-05-21,3095,3123,3078.699951,3089.350098,2982.894043,71234
19-05-21,3080,3118,3066.050049,3081.949951,2975.749023,63943
20-05-21,3074,3087.550049,3053,3060,2954.555176,44081
21-05-21,3065,3087.899902,3055.350098,3080.399902,2974.252441,25700
24-05-21,3080.550049,3105,3075,3081.850098,2975.652588,34002
25-05-21,3094,3127,3082.850098,3113.949951,3006.646484,89880
26-05-21,3123,3165,3104.75,3158.199951,3049.371582,63167
27-05-21,3165.399902,3218,3162.949951,3180.199951,3070.613281,89498
28-05-21,3190,3197.649902,3137,3144.100098,3035.757324,90237
31-05-21,3150,3170,3129,3158.949951,3050.095459,81654
01-06-21,3170,3170,3132,3153.399902,3044.736816,39525
02-06-21,3154,3155.699951,3116.149902,3129.300049,3021.467529,69364
03-06-21,3150,3154.949951,3122.399902,3141.449951,3033.19873,42074
04-06-21,3130,3156.949951,3125.100098,3143.149902,3034.839844,60938
07-06-21,3155,3189.949951,3134,3181.800049,3072.158203,38418
08-06-21,3200,3231.550049,3190.199951,3200.5,3090.213867,65874
09-06-21,3202,3220.800049,3187.800049,3199.5,3089.248291,88982
10-06-21,3210,3225,3192.600098,3216.050049,3105.228027,40366
11-06-21,3215,3309,3213,3271.699951,3158.960449,110175
14-06-21,3290,3307.600098,3270.050049,3276.350098,3163.450439,61546
15-06-21,3300,3300,3251.550049,3262.449951,3150.029053,567462
16-06-21,3265,3294.300049,3253.149902,3276.350098,3163.450439,166257
17-06-21,3260,3335.050049,3260,3320.100098,3205.692627,106664
18-06-21,3350,3357.850098,3275,3297,3183.388672,132596
21-06-21,3278,3285.949951,3253,3272.449951,3159.68457,1452171
22-06-21,3319,3327,3287.449951,3300.649902,3186.912598,47420
23-06-21,3325,3325,3256.600098,3262.100098,3149.691162,506938
24-06-21,3282,3382,3272.600098,3373.600098,3257.349121,214740
25-06-21,3390,3399,3351,3380.699951,3264.204102,206177
28-06-21,3396,3396,3332.449951,3335.600098,3220.658691,43234
29-06-21,3348.699951,3366,3327,3339.600098,3224.520996,52691
30-06-21,3338.949951,3382,3338.949951,3345.25,3229.976074,34105
01-07-21,3359,3362.949951,3333,3341,3225.872314,25777
02-07-21,3338,3338,3296.050049,3325.550049,3210.954834,51771
05-07-21,3337,3373.899902,3303.449951,3321.550049,3207.092773,75811
06-07-21,3315,3329.100098,3256.100098,3262.350098,3149.932617,177251
07-07-21,3283,3283.449951,3242,3275.300049,3162.436279,106869
08-07-21,3295,3296.949951,3232.300049,3257.100098,3144.863525,98504
09-07-21,3260,3281,3200,3207.75,3097.213867,232383
12-07-21,3235,3238.899902,3188.949951,3192.949951,3082.923828,496574
13-07-21,3215,3215.600098,3175.449951,3187.899902,3078.047852,51763
14-07-21,3181,3220.949951,3181,3213.850098,3103.10376,372510
15-07-21,3233,3233,3194.899902,3201.5,3091.179443,87671
16-07-21,3217.5,3219,3190,3194.649902,3084.56543,71188
19-07-21,3188,3200,3175,3184.399902,3074.668457,433962
20-07-21,3184,3214.850098,3156,3205.300049,3094.848389,114292
22-07-21,3189,3224.850098,3189,3216.550049,3105.710938,85259
23-07-21,3225,3240.899902,3206.300049,3212.050049,3101.365723,103816
26-07-21,3210,3224,3191,3199.350098,3089.10376,49985
27-07-21,3204,3209.5,3161,3183.050049,3073.365234,63248
28-07-21,3196,3203.300049,3133.199951,3197.5,3087.317383,97773
29-07-21,3208.800049,3226,3191,3196.600098,3086.448486,44904
30-07-21,3209,3221.649902,3162,3167.5,3058.351074,52954
02-08-21,3173.550049,3224.649902,3166.050049,3217.899902,3107.01416,134570
03-08-21,3220,3289.949951,3220,3284.149902,3170.981445,166466
04-08-21,3302.5,3305,3261.649902,3273.449951,3160.650146,126809
05-08-21,3274,3315,3264.949951,3285.149902,3171.946533,63832
06-08-21,3275,3323.800049,3265,3310.149902,3196.085205,167196
09-08-21,3315.850098,3336.550049,3310,3322.399902,3207.913086,86883
10-08-21,3322.399902,3349.199951,3315,3333.25,3218.389404,90574
11-08-21,3350,3359.850098,3327.300049,3340.550049,3225.437988,67042
12-08-21,3346,3367.550049,3332.149902,3353.949951,3238.375977,73888
13-08-21,3353,3479.350098,3353,3461.899902,3342.606201,301314
16-08-21,3461.899902,3492.5,3437,3471.75,3352.116943,62836
17-08-21,3484.449951,3560.25,3464,3552.399902,3429.987549,160065
18-08-21,3555,3594.600098,3537,3558.5,3435.877441,69366
20-08-21,3524,3573.100098,3503.600098,3557.449951,3434.863525,55131
23-08-21,3570,3672.5,3562.949951,3635.850098,3510.562256,127876
24-08-21,3653,3668.75,3595.850098,3612.199951,3487.727051,59758
25-08-21,3612.800049,3697,3608.949951,3659.5,3533.397217,70032
26-08-21,3668.899902,3687.100098,3649,3671.050049,3544.549316,94445
27-08-21,3657.949951,3729,3651.100098,3720.149902,3591.957031,80952
